Filename;Filetype;Exif.Image.Make;Exif.Image.Model;Exif.Image.Orientation;Exif.Image.XResolution;Exif.Image.YResolution;Exif.Image.ResolutionUnit;Exif.Image.Software;Exif.Image.DateTime;Exif.Image.YCbCrPositioning;Exif.Image.ExifTag;Exif.Photo.ExposureTime;Exif.Photo.FNumber;Exif.Photo.ISOSpeedRatings;Exif.Photo.ExifVersion;Exif.Photo.DateTimeOriginal;Exif.Photo.DateTimeDigitized;Exif.Photo.ComponentsConfiguration;Exif.Photo.ShutterSpeedValue;Exif.Photo.ExposureBiasValue;Exif.Photo.MeteringMode;Exif.Photo.LightSource;Exif.Photo.Flash;Exif.Photo.FocalLength;Exif.Photo.FlashpixVersion;Exif.Photo.ColorSpace;Exif.Photo.PixelXDimension;Exif.Photo.PixelYDimension;Exif.Photo.InteroperabilityTag;Exif.Iop.InteroperabilityIndex;Exif.Iop.InteroperabilityVersion;Exif.Photo.CustomRendered;Exif.Photo.ExposureMode;Exif.Photo.WhiteBalance;Exif.Photo.DigitalZoomRatio;Exif.Photo.SceneCaptureType;Exif.Photo.SubjectDistanceRange;Exif.Thumbnail.Compression;Exif.Thumbnail.Orientation;Exif.Thumbnail.XResolution;Exif.Thumbnail.YResolution;Exif.Thumbnail.ResolutionUnit;Exif.Thumbnail.JPEGInterchangeFormat;Exif.Thumbnail.JPEGInterchangeFormatLength;Exif.Image.Flash;Exif.Image.LightSource;Exif.Image.MeteringMode;Exif.Image.0xa403;Exif.Image.ImageLength;Exif.Image.FNumber;Exif.Image.FocalLength;Exif.Image.ImageWidth;Exif.Photo.0x0201;Exif.Photo.0x0202;Exif.Image.ExposureTime;Exif.Image.0xa404;Exif.Image.ExposureBiasValue
DSC_0056.JPG;jpg;Sony Ericsson;MK16i;1;72/1;72/1;2;4.0.2.A.0.62_2d_f100;2012:07:15 09:24:49;1;212;10/10000;26/10;80;48 50 50 48;2012:07:15 09:24:49;2012:07:15 09:24:49;1 2 3 0;996/100;0/3;2;0;24;410/100;48 49 48 48;1;3264;2448;594;R98;48 49 48 48;0;0;0;100/100;0;0;6;1;72/1;72/1;2;730;6010;;;;;;;;;;;;;
DSC_0058.JPG;jpg;Sony Ericsson;MK16i;1;72/1;72/1;2;4.0.2.A.0.62_2d_f100;2012:07:15 09:28:19;1;212;10/2000;26/10;80;48 50 50 48;2012:07:15 09:28:19;2012:07:15 09:28:19;1 2 3 0;764/100;0/3;2;0;24;410/100;48 49 48 48;1;3264;2448;594;R98;48 49 48 48;0;0;0;100/100;0;0;6;1;72/1;72/1;2;730;9393;;;;;;;;;;;;;
DSC_0059.JPG;jpg;Sony Ericsson;MK16i;1;72/1;72/1;2;4.0.2.A.0.62_2d_f100;2012:07:15 09:30:16;1;212;10/320;26/10;100;48 50 50 48;2012:07:15 09:30:16;2012:07:15 09:30:16;1 2 3 0;500/100;0/3;2;0;24;410/100;48 49 48 48;1;3264;2448;594;R98;48 49 48 48;0;0;0;100/100;0;0;6;1;72/1;72/1;2;730;6428;;;;;;;;;;;;;
DSC_0060.JPG;jpg;Sony Ericsson;MK16i;1;72/1;72/1;2;4.0.2.A.0.62_2d_f100;2012:07:15 09:30:44;1;212;10/8000;26/10;80;48 50 50 48;2012:07:15 09:30:44;2012:07:15 09:30:44;1 2 3 0;964/100;0/3;2;0;24;410/100;48 49 48 48;1;3264;2448;594;R98;48 49 48 48;0;0;0;100/100;0;0;6;1;72/1;72/1;2;730;6219;;;;;;;;;;;;;
DSC_0061.JPG;jpg;Sony Ericsson;MK16i;3;;;;;['\x08', '2012:07:15 15:36:39'];;250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;0;2;0;2448;410/100;410/100;3264;280;7839;;;
DSC_0062.JPG;jpg;Sony Ericsson;MK16i;1;72/1;72/1;2;4.0.2.A.0.62_2d_f100;2012:07:15 15:53:30;1;212;10/4000;26/10;80;48 50 50 48;2012:07:15 15:53:30;2012:07:15 15:53:30;1 2 3 0;864/100;0/3;2;0;24;410/100;48 49 48 48;1;3264;2448;594;R98;48 49 48 48;0;0;0;100/100;0;0;6;1;72/1;72/1;2;730;7014;;;;;;;;;;;;;
DSC_0063.JPG;jpg;Sony Ericsson;MK16i;6;72/1;72/1;2;4.0.2.A.0.62_2d_f100;2012:07:15 15:55:12;1;212;10/3200;26/10;80;48 50 50 48;2012:07:15 15:55:12;2012:07:15 15:55:12;1 2 3 0;832/100;0/3;2;0;24;410/100;48 49 48 48;1;3264;2448;594;R98;48 49 48 48;0;0;0;100/100;0;0;6;6;72/1;72/1;2;730;8751;;;;;;;;;;;;;
DSC_0064.JPG;jpg;Sony Ericsson;MK16i;1;72/1;72/1;2;4.0.2.A.0.62_2d_f100;2012:07:21 21:35:01;1;212;10/500;26/10;100;48 50 50 48;2012:07:21 21:35:01;2012:07:21 21:35:01;1 2 3 0;564/100;0/3;2;0;24;410/100;48 49 48 48;1;3264;2448;594;R98;48 49 48 48;0;0;0;100/100;0;0;6;1;72/1;72/1;2;730;3196;;;;;;;;;;;;;
DSC_0065.JPG;jpg;Sony Ericsson;MK16i;1;72/1;72/1;2;4.0.2.A.0.62_2d_f100;2012:07:21 21:36:07;1;212;10/500;26/10;100;48 50 50 48;2012:07:21 21:36:07;2012:07:21 21:36:07;1 2 3 0;564/100;0/3;2;0;24;410/100;48 49 48 48;1;3264;2448;594;R98;48 49 48 48;0;0;0;100/100;0;0;6;1;72/1;72/1;2;730;4524;;;;;;;;;;;;;
DSC_0066.JPG;jpg;Sony Ericsson;MK16i;1;72/1;72/1;2;4.0.2.A.0.62_2d_f100;2012:07:21 21:36:42;1;212;10/640;26/10;125;48 50 50 48;2012:07:21 21:36:42;2012:07:21 21:36:42;1 2 3 0;600/100;0/3;2;0;24;410/100;48 49 48 48;1;3264;2448;594;R98;48 49 48 48;0;0;0;100/100;0;0;6;1;72/1;72/1;2;730;4453;;;;;;;;;;;;;
