Filename;Filetype;Exif.Photo.ExposureBiasValue;Exif.Photo.DateTimeOriginal;Exif.Image.Model;Exif.Image.Orientation;Exif.Photo.FocalLength;Exif.Photo.FNumber;Exif.Photo.MeteringMode;Exif.Photo.ExposureTime;Exif.Photo.Flash;Exif.Photo.ExposureProgram;Exif.Image.Make;Exif.Photo.ISOSpeedRatings
IMG_20201205_141759.jpg;jpg;0/10;2020:12:05 14:18:00;ELE-L29;0;5580/1000;180/100;5;6231000/1000000000;0;2;HUAWEI;50
IMG_20201205_141814.jpg;jpg;0/10;2020:12:05 14:18:15;ELE-L29;0;5580/1000;180/100;5;5403000/1000000000;0;2;HUAWEI;50
IMG_20201205_141917.jpg;jpg;0/10;2020:12:05 14:19:19;ELE-L29;0;7480/1000;240/100;5;20000000/1000000000;0;2;HUAWEI;100
IMG_20201205_142042.jpg;jpg;0/10;2020:12:05 14:20:44;ELE-L29;0;5580/1000;180/100;5;8120000/1000000000;0;2;HUAWEI;50
IMG_20201205_142246.jpg;jpg;0/10;2020:12:05 14:22:48;ELE-L29;0;7480/1000;240/100;5;30000000/1000000000;0;2;HUAWEI;125
IMG_20201205_142253.jpg;jpg;0/10;2020:12:05 14:22:54;ELE-L29;0;7480/1000;240/100;5;20000000/1000000000;0;2;HUAWEI;50
IMG_20201205_142326.jpg;jpg;0/10;2020:12:05 14:23:28;ELE-L29;0;7480/1000;240/100;5;30000000/1000000000;0;2;HUAWEI;160
IMG_20201205_142327.jpg;jpg;0/10;2020:12:05 14:23:30;ELE-L29;0;7480/1000;240/100;5;30000000/1000000000;0;2;HUAWEI;160
IMG_20201205_142331.jpg;jpg;0/10;2020:12:05 14:23:33;ELE-L29;0;7480/1000;240/100;5;30000000/1000000000;0;2;HUAWEI;160
IMG_20201205_142332.jpg;jpg;0/10;2020:12:05 14:23:35;ELE-L29;0;7480/1000;240/100;5;30000000/1000000000;0;2;HUAWEI;160
IMG_20201205_142403.jpg;jpg;0/10;2020:12:05 14:24:05;ELE-L29;0;7480/1000;240/100;5;30000000/1000000000;0;2;HUAWEI;160
IMG_20201205_142404.jpg;jpg;0/10;2020:12:05 14:24:06;ELE-L29;0;7480/1000;240/100;5;30000000/1000000000;0;2;HUAWEI;160
IMG_20201205_142405.jpg;jpg;0/10;2020:12:05 14:24:08;ELE-L29;0;7480/1000;240/100;5;30000000/1000000000;0;2;HUAWEI;160
IMG_20201205_142434.jpg;jpg;0/10;2020:12:05 14:24:36;ELE-L29;0;7480/1000;240/100;5;14492000/1000000000;0;2;HUAWEI;250
IMG_20201205_142436.jpg;jpg;0/10;2020:12:05 14:24:38;ELE-L29;0;7480/1000;240/100;5;14492000/1000000000;0;2;HUAWEI;250
IMG_20201205_142437.jpg;jpg;0/10;2020:12:05 14:24:40;ELE-L29;0;7480/1000;240/100;5;14492000/1000000000;0;2;HUAWEI;250
IMG_20201205_142511.jpg;jpg;0/10;2020:12:05 14:25:13;ELE-L29;0;7480/1000;240/100;5;20000000/1000000000;0;2;HUAWEI;160
IMG_20201205_151400.jpg;jpg;0/10;2020:12:05 15:14:00;ELE-L29;0;2260/1000;220/100;5;30000000/1000000000;0;2;HUAWEI;125
IMG_20201205_151509.jpg;jpg;0/10;2020:12:05 15:15:12;ELE-L29;0;5580/1000;180/100;5;10010000/1000000000;0;2;HUAWEI;50
IMG_20201205_153510.jpg;jpg;0/10;2020:12:05 15:35:11;ELE-L29;0;7480/1000;240/100;5;5945000/1000000000;0;2;HUAWEI;50
IMG_20201206_134926.jpg;jpg;0/10;2020:12:06 13:49:29;ELE-L29;0;5580/1000;180/100;5;4359000/1000000000;0;2;HUAWEI;50
IMG_20201206_135031.jpg;jpg;0/10;2020:12:06 13:50:31;ELE-L29;0;2260/1000;220/100;5;9061000/1000000000;0;2;HUAWEI;50
IMG_20201206_135048.jpg;jpg;0/10;2020:12:06 13:50:48;ELE-L29;0;2260/1000;220/100;5;9018000/1000000000;0;2;HUAWEI;50
IMG_20201206_135105.jpg;jpg;0/10;2020:12:06 13:51:05;ELE-L29;0;2260/1000;220/100;5;8738000/1000000000;0;2;HUAWEI;50
IMG_20201206_135434.jpg;jpg;0/10;2020:12:06 13:54:35;ELE-L29;0;7480/1000;240/100;5;1757000/1000000000;0;2;HUAWEI;50
IMG_20201206_135435.jpg;jpg;0/10;2020:12:06 13:54:37;ELE-L29;0;7480/1000;240/100;5;1757000/1000000000;0;2;HUAWEI;50
IMG_20201206_135500.jpg;jpg;10/10;2020:12:06 13:55:01;ELE-L29;0;7480/1000;240/100;5;2655000/1000000000;0;2;HUAWEI;50
IMG_20201206_135506.jpg;jpg;10/10;2020:12:06 13:55:06;ELE-L29;0;7480/1000;240/100;5;2571000/1000000000;0;2;HUAWEI;50
IMG_20201206_135549.jpg;jpg;0/10;2020:12:06 13:55:50;ELE-L29;0;7480/1000;240/100;5;8332000/1000000000;0;2;HUAWEI;50
IMG_20201206_160510.jpg;jpg;0/10;2020:12:06 16:05:12;ELE-L29;0;7480/1000;240/100;5;20000000/1000000000;0;2;HUAWEI;80
IMG_20200714_030857.jpg;jpg;0/10;2020:07:14 03:09:00;ELE-L29;0;5580/1000;180/100;5;20000000/1000000000;0;2;HUAWEI;640
IMG_20200714_030900.jpg;jpg;0/10;2020:07:14 03:09:01;ELE-L29;0;5580/1000;180/100;5;20000000/1000000000;0;2;HUAWEI;800
IMG_20200714_031101.jpg;jpg;0/10;2020:07:14 03:11:02;ELE-L29;0;5580/1000;180/100;5;20000000/1000000000;0;2;HUAWEI;800
IMG_20200714_031101_1.jpg;jpg;0/10;2020:07:14 03:11:04;ELE-L29;0;5580/1000;180/100;5;20000000/1000000000;0;2;HUAWEI;800
IMG_20200714_031102.jpg;jpg;0/10;2020:07:14 03:11:05;ELE-L29;0;5580/1000;180/100;5;20000000/1000000000;0;2;HUAWEI;800
IMG_20200714_031119.jpg;jpg;0/10;2020:07:14 03:11:21;ELE-L29;0;7480/1000;240/100;5;50000000/1000000000;0;2;HUAWEI;500
IMG_20200714_031120.jpg;jpg;0/10;2020:07:14 03:11:23;ELE-L29;0;7480/1000;240/100;5;50000000/1000000000;0;2;HUAWEI;640
IMG_20200714_105003.jpg;jpg;0/10;2020:07:14 10:50:05;ELE-L29;0;5580/1000;180/100;5;238000/1000000000;0;2;HUAWEI;50
IMG_20200714_105036.jpg;jpg;0/10;2020:07:14 10:50:37;ELE-L29;0;7480/1000;240/100;5;385000/1000000000;0;2;HUAWEI;50
IMG_20200714_121217.jpg;jpg;0/10;2020:07:14 12:12:18;ELE-L29;0;7480/1000;240/100;5;299000/1000000000;0;2;HUAWEI;50
IMG_20200714_121244.jpg;jpg;0/10;2020:07:14 12:12:45;ELE-L29;0;7480/1000;240/100;5;214000/1000000000;0;2;HUAWEI;50
IMG_20200714_134345.jpg;jpg;0/10;2020:07:14 13:43:46;ELE-L29;0;7480/1000;240/100;5;479000/1000000000;0;2;HUAWEI;50
IMG_20200714_134356.jpg;jpg;0/10;2020:07:14 13:43:56;ELE-L29;0;7480/1000;240/100;5;318000/1000000000;0;2;HUAWEI;50
IMG_20200714_134357.jpg;jpg;0/10;2020:07:14 13:43:57;ELE-L29;0;7480/1000;240/100;5;319000/1000000000;0;2;HUAWEI;50
IMG_20200714_134357_1.jpg;jpg;0/10;2020:07:14 13:43:58;ELE-L29;0;7480/1000;240/100;5;350000/1000000000;0;2;HUAWEI;50
IMG_20200714_134359.jpg;jpg;0/10;2020:07:14 13:44:00;ELE-L29;0;7480/1000;240/100;5;346000/1000000000;0;2;HUAWEI;50
