Filename;Filetype;Exif.Photo.ExposureTime;Exif.Photo.FocalLength;Exif.Photo.ISOSpeedRatings;Exif.Photo.FNumber;Exif.Photo.ExposureProgram;Exif.Photo.MeteringMode;Exif.Photo.Flash;Exif.Image.Orientation;Exif.Photo.DateTimeOriginal;Exif.Image.Make;Exif.Photo.ExposureBiasValue;Exif.Image.Model
IMG_0827.JPG;jpg;1/15;5000/1000;400;28/10;;5;89;1;2012:07:18 01:24:26;Canon;0/3;Canon IXUS 117 HS
IMG_0838.JPG;jpg;1/60;5000/1000;640;28/10;;5;24;1;2012:07:18 01:48:11;Canon;0/3;Canon IXUS 117 HS
IMG_0842.JPG;jpg;1/200;5000/1000;200;80/10;;5;24;1;2012:07:18 11:46:36;Canon;0/3;Canon IXUS 117 HS
IMG_0843.JPG;jpg;1/1250;5000/1000;100;28/10;;5;24;1;2012:07:18 11:46:50;Canon;0/3;Canon IXUS 117 HS
IMG_0861.JPG;jpg;1/1000;8022/1000;100;35/10;;5;24;1;2012:07:19 11:56:03;Canon;0/3;Canon IXUS 117 HS
IMG_0862.JPG;jpg;1/1000;8022/1000;100;35/10;;5;24;1;2012:07:19 11:56:21;Canon;0/3;Canon IXUS 117 HS
IMG_0865.JPG;jpg;1/1250;5000/1000;100;28/10;;5;24;1;2012:07:19 12:01:25;Canon;0/3;Canon IXUS 117 HS
IMG_0866.JPG;jpg;1/1250;5000/1000;100;28/10;;5;24;1;2012:07:19 12:01:39;Canon;0/3;Canon IXUS 117 HS
IMG_0867.JPG;jpg;1/1250;5000/1000;100;28/10;;5;24;1;2012:07:19 12:01:57;Canon;0/3;Canon IXUS 117 HS
IMG_0868.JPG;jpg;1/1250;5000/1000;100;28/10;;5;24;1;2012:07:19 12:02:04;Canon;0/3;Canon IXUS 117 HS
IMG_0869.JPG;jpg;1/1250;5000/1000;100;28/10;;5;24;1;2012:07:19 12:02:10;Canon;0/3;Canon IXUS 117 HS
IMG_0870.JPG;jpg;1/1250;5000/1000;100;28/10;;5;24;1;2012:07:19 12:02:17;Canon;0/3;Canon IXUS 117 HS
IMG_0873.JPG;jpg;1/1250;5000/1000;100;28/10;;5;24;1;2012:07:19 12:05:46;Canon;0/3;Canon IXUS 117 HS
IMG_0874.JPG;jpg;1/320;5000/1000;160;80/10;;5;24;1;2012:07:19 12:06:06;Canon;0/3;Canon IXUS 117 HS
IMG_0875.JPG;jpg;1/1000;5000/1000;100;28/10;;5;24;1;2012:07:19 12:07:47;Canon;0/3;Canon IXUS 117 HS
IMG_0876.JPG;jpg;1/1250;5000/1000;100;28/10;;5;24;1;2012:07:19 12:07:50;Canon;0/3;Canon IXUS 117 HS
